,Energy In Bat 1,Energy In Bat 2,Energy In Bat 3,Energy Out Bat 1,Energy Out Bat 2,Energy Out Bat 3,PV Energy 1,PV Energy 2,PV Energy 3,Energy Gen 
2016-01-01,58.0,57.0,56.0,51.0,50.0,51.0,88.61,88.72,88.08,0.0
2016-01-02,54.0,53.0,54.0,47.0,47.0,47.0,81.34,81.26,80.44,0.0
2016-01-03,53.0,53.0,53.0,47.0,46.0,47.0,82.13,82.37,81.62,0.0
2016-01-04,33.0,33.0,32.0,50.0,47.0,50.0,55.23,55.46,55.22,0.0
2016-01-05,71.0,67.0,71.0,48.0,45.0,48.0,52.64,52.49,52.5,134.3
2016-01-06,41.0,41.0,41.0,52.0,54.0,52.0,63.5,63.5,62.88,0.0
2016-01-07,71.0,71.0,70.0,39.0,38.0,39.0,69.75,69.99,69.82,107.2
2016-01-08,48.0,49.0,46.0,45.0,45.0,43.0,73.83,74.09,73.96,0.0
2016-01-09,30.0,28.0,29.0,43.0,45.0,43.0,52.91,53.02,52.61,0.0
2016-01-10,66.0,72.0,64.0,39.0,39.0,39.0,54.08,54.32,54.68,136.3
2016-01-11,49.0,49.0,47.0,42.0,43.0,40.0,79.08,79.13,78.54,0.0
2016-01-12,48.0,49.0,47.0,42.0,42.0,42.0,77.46,77.5,78.57,0.0
2016-01-13,29.0,27.0,28.0,55.0,56.0,53.0,44.88,44.58,44.71,0.0
2016-01-14,73.0,75.0,71.0,36.0,34.0,36.0,68.13,68.8,69.29,112.8
2016-01-15,48.0,47.0,45.0,41.0,41.0,40.0,74.33,74.09,74.05,0.0
2016-01-16,49.0,49.0,49.0,43.0,43.0,43.0,75.31,75.0,74.96,0.0
2016-01-17,47.0,47.0,45.0,43.0,43.0,44.0,74.11,73.9,73.68,0.0
2016-01-18,50.0,50.0,50.0,45.0,45.0,44.0,76.52,78.52,78.48,0.0
2016-01-19,47.0,48.0,46.0,42.0,42.0,42.0,78.88,78.24,79.05,0.0
2016-01-20,48.0,50.0,48.0,44.0,44.0,43.0,79.27,80.8,82.48,0.0
2016-01-21,48.0,49.0,47.0,42.0,43.0,42.0,78.57,79.27,79.28,0.0
2016-01-22,47.0,48.0,45.0,43.0,43.0,41.0,79.68,78.22,79.4,0.0
2016-01-23,47.0,49.0,45.0,45.0,46.0,45.0,77.57,76.76,78.9,0.0
2016-01-24,50.0,51.0,48.0,45.0,45.0,44.0,84.56,82.68,84.17,0.0
2016-01-25,35.0,34.0,33.0,45.0,47.0,47.0,60.05,58.78,59.61,0.0
2016-01-26,49.0,62.0,62.0,29.0,48.0,49.0,50.51,48.99,48.5,150.9
2016-01-27,48.0,53.0,50.0,50.0,43.0,40.0,42.38,43.41,45.8,123.2
2016-01-28,59.0,47.0,40.0,60.0,34.0,31.0,43.38,42.8,42.67,120.0
2016-01-29,33.0,29.0,31.0,44.0,57.0,52.0,55.27,54.28,54.61,0.0
2016-01-30,66.0,67.0,61.0,42.0,44.0,44.0,57.97,57.24,57.35,115.2
2016-01-31,53.0,59.0,50.0,45.0,44.0,42.0,83.12,81.53,82.06,0.0
2016-02-01,45.0,46.0,42.0,42.0,43.0,39.0,70.61,69.62,70.25,0.0
2016-02-02,36.0,36.0,34.0,44.0,45.0,44.0,59.47,58.4,58.88,0.0
